County,A10i,A21,B3B,incomegpnew,freq
West Pokot,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",2
Homabay,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",4
Busia,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",8
Bungoma,Male,Some secondary,Money / support from family / friends / spouse,Don't Know,24
Bomet,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",6
Migori,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",13
Garissa,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",7
Makueni,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",5
Migori,Male,Some secondary,Casual worker,"KSh 10,001-20,000",1
Nyandarua,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",11
Kiambu,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Bungoma,Male,Some primary ,Casual worker,Don't Know,6
Nakuru,Female,Some secondary,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",3
Marsabit,Female,Secondary completed ,Employed,"KSh 20,001 - 50,000",1
Mandera,Male,Some secondary,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Nandi,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",8
Mandera,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",6
Turkana,Female,None ,Running own business/Self employed,"KSh 1,001 - 3,000",39
Mandera,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",14
Wajir,Male,None ,Running own business/Self employed,"KSh 10,001-20,000",6
Migori,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",5
Trans Nzoia,Female,Secondary completed ,Employed,"KSh 5,001 - 10,000",1
Meru,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",19
Embu,Female,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",1
Taita-Taveta,Male,Primary completed,Employed,"KSh 20,001 - 50,000",5
Kilifi,Female,Some university,Running own business/Self employed,"KSh 20,001 - 50,000",1
Machakos,Female,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",7
Turkana,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",4
Baringo,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",5
Kitui,Female,Primary completed,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",7
Nyamira,Female,Some secondary,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",3
Embu,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",2
Samburu,Female,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",1
Bomet,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",10
Uasin Gishu,Male,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Trans Nzoia,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Turkana,Female,Primary completed,Running own business/Self employed,"KSh 10,001-20,000",1
Laikipia,Female,Some secondary,Running own business/Self employed,"KSh 10,001-20,000",1
Kericho,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",4
Isiolo,Male,Some secondary,Running own business/Self employed,"KSh 5,001 - 10,000",2
Kisii,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",7
Kisumu,Male,Some secondary,Casual worker,"KSh 5,001 - 10,000",5
Elgeyo-Marakwet,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",13
Taita-Taveta,Male,Secondary completed ,Employed,"KSh 10,001-20,000",7
Elgeyo-Marakwet,Male,Some primary ,Casual worker,"KSh 3,001 - 5,000",5
Vihiga,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",11
Nyamira,Male,Some primary ,Employed,"KSh 3,001 - 5,000",1
Isiolo,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Marsabit,Male,Some technical training after secondary school,Money / support from family / friends / spouse,"KSh 20,001 - 50,000",2
Tana River,Female,Secondary completed ,Money / support from family / friends / spouse,Don't Know,3
Taita-Taveta,Male,Some secondary,Employed,"KSh 3,001 - 5,000",1
Kisumu,Male,Secondary completed ,Running own business/Self employed,"KSh 20,001 - 50,000",4
Elgeyo-Marakwet,Male,Some primary ,Running own business/Self employed,"KSh 5,001 - 10,000",3
Makueni,Female,Some primary ,Casual worker,"KSh 5,001 - 10,000",2
Murang'a,Female,Primary completed,Casual worker,"KSh 3,001 - 5,000",3
Machakos,Male,University completed ,Casual worker,"KSh 5,001 - 10,000",2
Meru,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",2
Baringo,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",9
Lamu,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Elgeyo-Marakwet,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",14
Tana River,Female,Some secondary,Casual worker,"KSh 5,001 - 10,000",1
Meru,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",6
Wajir,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",2
Laikipia,Female,Secondary completed ,Employed,"KSh 10,001-20,000",2
Kisumu,Female,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",2
Kiambu,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Machakos,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",6
Machakos,Female,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",4
Taita-Taveta,Male,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",8
Bomet,Male,Some primary ,Money / support from family / friends / spouse,Don't Know,5
Uasin Gishu,Male,Some primary ,Casual worker,Don't Know,13
Kakamega,Male,Some primary ,Casual worker,Don't Know,8
Embu,Male,University completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Meru,Male,Secondary completed ,Casual worker,"KSh 10,001-20,000",5
Samburu,Male,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Marsabit,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",18
Taita-Taveta,Female,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",1
Uasin Gishu,Male,University completed ,Employed,Don't Know,1
Machakos,Male,Secondary completed ,Casual worker,"KSh 1,001 - 3,000",2
Kwale,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",2
Taita-Taveta,Male,None ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Nyamira,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",6
Kisii,Male,Primary completed,Employed,"KSh 1,001 - 3,000",1
Busia,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Garissa,Female,None ,Running own business/Self employed,"KSh 5,001 - 10,000",2
Bungoma,Male,Primary completed,Employed,"KSh 1 - 1,000",1
Homabay,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",6
Kisumu,Female,Primary completed,Running own business/Self employed,"KSh 10,001-20,000",1
Busia,Female,Primary completed,Casual worker,"KSh 1 - 1,000",7
Laikipia,Male,Completed technical training after secondary school,Employed,"KSh 5,001 - 10,000",2
Makueni,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",2
Homabay,Male,Primary completed,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Isiolo,Female,Primary completed,Casual worker,"KSh 1,001 - 3,000",4
Nyeri,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,3
Kisumu,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",1
Embu,Male,Secondary completed ,Money / support from family / friends / spouse,Don't Know,3
Vihiga,Female,Primary completed,Casual worker,"KSh 1 - 1,000",2
Nandi,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1 - 1,000",8
Kericho,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",9
Meru,Male,Primary completed,Casual worker,"KSh 5,001 - 10,000",15
Kiambu,Female,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",1
Bomet,Female,Some primary ,Casual worker,"KSh 1 - 1,000",9
Embu,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,1
Kajiado,Male,Some university,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Nyeri,Male,Primary completed,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",2
Embu,Female,Some primary ,Employed,Don't Know,1
Kajiado,Male,University completed ,Employed,"KSh 20,001 - 50,000",3
Tharaka-Nithi,Female,Secondary completed ,Running own business/Self employed,Don't Know,1
Homabay,Male,Primary completed,Casual worker,"KSh 3,001 - 5,000",6
Nairobi City,Male,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",6
Nairobi City,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Samburu,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Narok,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",6
Nyeri,Female,Some technical training after secondary school,Money / support from family / friends / spouse,"KSh 1 - 1,000",1
Embu,Male,Some secondary,"Renting,  land, house/rooms, equipment","KSh 5,001 - 10,000",1
Bungoma,Female,Some primary ,Casual worker,"KSh 3,001 - 5,000",1
Trans Nzoia,Female,Some secondary,Money / support from family / friends / spouse,Don't Know,12
Homabay,Male,Some secondary,Money / support from family / friends / spouse,"KSh 1 - 1,000",9
Machakos,Female,Some secondary,Casual worker,"KSh 10,001-20,000",1
Wajir,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,2
Kisumu,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Meru,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Nyamira,Female,Some secondary,Running own business/Self employed,"KSh 10,001-20,000",1
Turkana,Female,Some primary ,Employed,"KSh 5,001 - 10,000",2
Tharaka-Nithi,Male,None ,Money from  NGO / Government,Don't Know,1
Bomet,Male,Primary completed,Casual worker,"KSh 1 - 1,000",4
Makueni,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",4
Kisumu,Female,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",5
Kwale,Male,Some primary ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",3
Vihiga,Female,Secondary completed ,Pension/Annuity,"KSh 5,001 - 10,000",1
Nyeri,Female,Primary completed,Casual worker,"KSh 1 - 1,000",1
Nandi,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",5
Nyeri,Male,Secondary completed ,Casual worker,"KSh 1 - 1,000",1
Kakamega,Male,Some primary ,Money / support from family / friends / spouse,Don't Know,14
Murang'a,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",4
Bungoma,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",2
Bungoma,Female,None ,Money / support from family / friends / spouse,Don't Know,4
Isiolo,Male,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",9
Kwale,Female,None ,Running own business/Self employed,"KSh 1,001 - 3,000",3
Nakuru,Female,Some secondary,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",3
Uasin Gishu,Male,Primary completed,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",4
Uasin Gishu,Male,Completed technical training after secondary school,Employed,"KSh 5,001 - 10,000",3
Makueni,Male,Some secondary,Running own business/Self employed,"KSh 5,001 - 10,000",3
Kisumu,Male,Secondary completed ,Employed,"KSh 20,001 - 50,000",3
Uasin Gishu,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",10
Bomet,Male,Some university,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",2
Bomet,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Nakuru,Male,Secondary completed ,Casual worker,Don't Know,5
Nandi,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",1
Baringo,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",14
Kisumu,Male,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",6
Elgeyo-Marakwet,Male,Primary completed,Running own business/Self employed,"KSh 5,001 - 10,000",2
Machakos,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",6
Uasin Gishu,Male,Some primary ,Running own business/Self employed,Don't Know,1
Busia,Female,None ,Casual worker,"KSh 1,001 - 3,000",5
Mombasa,Male,Some secondary,Employed,"KSh 10,001-20,000",2
Uasin Gishu,Female,Some university,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Kakamega,Female,Some secondary,Casual worker,"KSh 1 - 1,000",1
Kajiado,Male,Some secondary,Employed,"KSh 5,001 - 10,000",4
Laikipia,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",3
Machakos,Male,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",7
Vihiga,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",12
Wajir,Female,Some secondary,Running own business/Self employed,"KSh 10,001-20,000",1
Nairobi City,Male,Secondary completed ,Employed,"KSh 20,001 - 50,000",8
Vihiga,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",2
Baringo,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",13
Nandi,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Nandi,Male,Some secondary,Casual worker,Don't Know,3
Meru,Female,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",4
Garissa,Male,None ,Casual worker,"KSh 20,001 - 50,000",13
Machakos,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",8
Nakuru,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,Don't Know,3
Nyeri,Male,Secondary completed ,Casual worker,"KSh 10,001-20,000",1
Kakamega,Male,Some secondary,Running own business/Self employed,"KSh 1,001 - 3,000",6
Murang'a,Female,Some primary ,Money from  NGO / Government,"KSh 1,001 - 3,000",4
Migori,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",15
Kirinyaga,Female,Some primary ,Running own business/Self employed,"KSh 5,001 - 10,000",1
Mombasa,Male,Some secondary,Employed,"KSh 20,001 - 50,000",1
Mombasa,Male,Primary completed,Casual worker,"KSh 5,001 - 10,000",13
Uasin Gishu,Female,Primary completed,Casual worker,"KSh 1 - 1,000",2
Kiambu,Female,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Narok,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",5
Lamu,Male,None ,Casual worker,Don't Know,2
Turkana,Female,None ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Nakuru,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",10
Kisumu,Female,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Siaya,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",15
Isiolo,Female,None ,Money / support from family / friends / spouse,Don't Know,3
Tana River,Male,Some primary ,Casual worker,"KSh 10,001-20,000",2
Nakuru,Male,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",6
Nyeri,Female,Some secondary,Money / support from family / friends / spouse,Don't Know,4
Trans Nzoia,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",8
Nyamira,Male,Some secondary,Casual worker,"KSh 1,001 - 3,000",8
Migori,Male,None ,Casual worker,"KSh 1 - 1,000",1
Makueni,Male,Some secondary,Running own business/Self employed,"KSh 1,001 - 3,000",1
Garissa,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 10,001-20,000",6
Nyeri,Male,Some primary ,Money / support from family / friends / spouse,Don't Know,4
Homabay,Female,Primary completed,Casual worker,"KSh 3,001 - 5,000",6
Nyamira,Male,Primary completed,Employed,"KSh 10,001-20,000",3
Makueni,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",4
Baringo,Female,Some technical training after secondary school,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",4
Mandera,Male,None ,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",10
Meru,Male,Some primary ,Casual worker,"KSh 10,001-20,000",2
Mombasa,Male,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",2
Tharaka-Nithi,Female,Secondary completed ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Kericho,Male,Some secondary,Money / support from family / friends / spouse,Don't Know,4
Marsabit,Male,Some primary ,Casual worker,"KSh 5,001 - 10,000",24
Nairobi City,Female,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",6
Migori,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",14
Busia,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",5
Nyamira,Male,Primary completed,Casual worker,"KSh 1,001 - 3,000",10
Nyeri,Female,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",3
Kajiado,Female,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",1
Nairobi City,Male,Primary completed,Casual worker,"KSh 10,001-20,000",10
Nakuru,Male,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",8
Laikipia,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",2
Homabay,Male,Primary completed,Employed,"KSh 1,001 - 3,000",1
Marsabit,Female,None ,Money from  NGO / Government,"KSh 1,001 - 3,000",2
Nakuru,Male,Some secondary,Casual worker,"KSh 1 - 1,000",2
Murang'a,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",3
Kericho,Male,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",13
Nyeri,Male,Secondary completed ,Employed,"KSh 5,001 - 10,000",3
Siaya,Female,Some primary ,Running own business/Self employed,"KSh 1,001 - 3,000",9
Nyamira,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",6
Uasin Gishu,Male,Some primary ,Casual worker,"KSh 1 - 1,000",6
Baringo,Male,Some secondary,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",1
Nyandarua,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",11
Garissa,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)",Don't Know,9
Kirinyaga,Female,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",6
Tharaka-Nithi,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",3
Migori,Male,Some secondary,Running own business/Self employed,"KSh 3,001 - 5,000",3
Bomet,Female,Primary completed,Casual worker,Don't Know,4
Nairobi City,Male,Some university,Employed,"KSh 20,001 - 50,000",3
Nairobi City,Male,Completed technical training after secondary school,Running own business/Self employed,"KSh 10,001-20,000",2
Marsabit,Female,None ,Running own business/Self employed,"KSh 3,001 - 5,000",3
Nairobi City,Male,Completed technical training after secondary school,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",1
Isiolo,Male,Some secondary,Casual worker,"KSh 3,001 - 5,000",1
Baringo,Male,Some primary ,Casual worker,"KSh 1,001 - 3,000",7
Mandera,Male,None ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",17
Vihiga,Male,None ,Casual worker,"KSh 5,001 - 10,000",2
Tharaka-Nithi,Female,None ,Money / support from family / friends / spouse,Don't Know,2
Nandi,Male,Some primary ,Casual worker,"KSh 3,001 - 5,000",15
Kajiado,Male,Secondary completed ,Money / support from family / friends / spouse,Refused to Answer,1
Kirinyaga,Male,Secondary completed ,Employed,"KSh 20,001 - 50,000",1
Laikipia,Male,Secondary completed ,Running own business/Self employed,"KSh 3,001 - 5,000",3
Wajir,Female,Primary completed,Casual worker,"KSh 10,001-20,000",3
Kisii,Female,Completed technical training after secondary school,Employed,"KSh 5,001 - 10,000",2
Siaya,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",7
Migori,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",3
Baringo,Male,Secondary completed ,Employed,"KSh 5,001 - 10,000",3
Nairobi City,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",14
Kajiado,Male,Some university,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",3
Lamu,Male,Primary completed,Running own business/Self employed,"KSh 3,001 - 5,000",2
Bungoma,Male,Some technical training after secondary school,Money / support from family / friends / spouse,Refused to Answer,2
Kericho,Female,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",5
Kakamega,Male,Secondary completed ,Money / support from family / friends / spouse,"KSh 1 - 1,000",4
Busia,Male,Some secondary,Casual worker,"KSh 1 - 1,000",4
Meru,Male,Completed technical training after secondary school,Employed,"KSh 5,001 - 10,000",2
Marsabit,Female,Some primary ,Money / support from family / friends / spouse,"KSh 1 - 1,000",3
Nakuru,Female,None ,Casual worker,"KSh 1,001 - 3,000",5
Busia,Male,Secondary completed ,Casual worker,"KSh 5,001 - 10,000",4
Meru,Male,Secondary completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 20,001 - 50,000",1
Machakos,Female,Secondary completed ,Casual worker,"KSh 3,001 - 5,000",4
Baringo,Female,Secondary completed ,Running own business/Self employed,"KSh 5,001 - 10,000",1
West Pokot,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",26
Uasin Gishu,Female,Some primary ,Casual worker,"KSh 1,001 - 3,000",8
Nakuru,Female,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",4
Mombasa,Male,Secondary completed ,Running own business/Self employed,"KSh 20,001 - 50,000",1
West Pokot,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",17
Siaya,Male,University completed ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",1
Nyamira,Male,Primary completed,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1,001 - 3,000",6
Homabay,Male,Some university,Money / support from family / friends / spouse,"KSh 1,001 - 3,000",1
Mandera,Male,None ,Employed,"KSh 10,001-20,000",2
Mandera,Female,Secondary completed ,Running own business/Self employed,"KSh 10,001-20,000",1
Narok,Female,Completed technical training after secondary school,Pension/Annuity,"KSh 1,001 - 3,000",1
Bungoma,Female,None ,Money / support from family / friends / spouse,"KSh 3,001 - 5,000",2
Garissa,Male,Secondary completed ,Running own business/Self employed,"KSh 20,001 - 50,000",1
Garissa,Male,None ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 5,001 - 10,000",21
West Pokot,Male,Some primary ,Casual worker,"KSh 1 - 1,000",7
Kwale,Male,Primary completed,Employed,"KSh 10,001-20,000",1
Kisii,Male,Some secondary,Casual worker,"KSh 1,001 - 3,000",8
Murang'a,Male,Some secondary,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 1 - 1,000",1
Migori,Female,Some primary ,"Farming (crops, keeping livestock, fishing, aquaculture)","KSh 3,001 - 5,000",6
Wajir,Male,None ,Money / support from family / friends / spouse,"KSh 5,001 - 10,000",20
Nandi,Female,Secondary completed ,Money / support from family / friends / spouse,Don't Know,7
