col_names,col_labels,col_types,as_type,is_type
B3A__9,Money / support from family / friends / spouse,double,as.double,is.double
B3B,Main Source,factor,as.factor,is.factor
B3C,Subsistence Answer,factor,as.factor,is.factor
B3D__1.1,"Cash:1 farming (crops, keeping livestock, fishing, aquaculture)",double,as.double,is.double
B3D__1.2,Cash:2 employment,double,as.double,is.double
B3D__1.3,Cash:3 casual work,double,as.double,is.double
B3D__1.4,Cash:4 running own business/Self employment,double,as.double,is.double
B3D__1.5,Cash:5 money from  NGO / Government/Social transfer,double,as.double,is.double
B3D__1.6,"Cash:6 renting,  land, house/rooms, equipment",double,as.double,is.double
B3D__1.7,"Cash:7 Earning money from investments, e.g. shares, stocks",double,as.double,is.double
B3D__1.8,Cash:8 Pension/Annuity,double,as.double,is.double
B3D__1.9,Cash:9 Money / support from family / friends / spouse,double,as.double,is.double
B3D__2.1,"Mobile money:1 farming (crops, keeping livestock, fishing, aquaculture)",double,as.double,is.double
B3D__2.2,Mobile money:2 employment,double,as.double,is.double
B3D__2.3,Mobile money:3 casual work,double,as.double,is.double
B3D__2.4,Mobile money:4 running own business/Self employment,double,as.double,is.double
B3D__2.5,Mobile money:5 money from  NGO / Government/Social transfer,double,as.double,is.double
B3D__2.6,"Mobile money:6 renting,  land, house/rooms, equipment",double,as.double,is.double
B3D__2.7,"Mobile money:7 Earning money from investments, e.g. shares, stocks",double,as.double,is.double
B3D__2.8,Mobile money:8 Pension/Annuity,double,as.double,is.double
B3D__2.9,Mobile money:9 Money / support from family / friends / spouse,double,as.double,is.double
B3D__3.1,"Bank cheque:1 farming (crops, keeping livestock, fishing, aquaculture)",double,as.double,is.double
B3D__3.2,Bank cheque:2 employment,double,as.double,is.double
B3D__3.3,Bank cheque:3 casual work,double,as.double,is.double
B3D__3.4,Bank cheque:4 running own business/Self employment,double,as.double,is.double
B3D__3.5,Bank cheque:5 money from  NGO / Government/Social transfer,double,as.double,is.double
B3D__3.6,"Bank cheque:6 renting,  land, house/rooms, equipment",double,as.double,is.double
B3D__3.7,"Bank cheque:7 Earning money from investments, e.g. shares, stocks",double,as.double,is.double
B3D__3.8,Bank cheque:8 Pension/Annuity,double,as.double,is.double
B3D__3.9,Bank cheque:9 Money / support from family / friends / spouse,double,as.double,is.double
B3D__4.1,"Bank transfer (e.g. EFT, SWIFT, Pesalink) / Bank deposit:1 farming (crops, keeping livestock, fishing, aquaculture)",double,as.double,is.double
B3D__4.2,"Bank transfer (e.g. EFT, SWIFT, Pesalink) / Bank deposit:2 employment",double,as.double,is.double
B3D__4.3,"Bank transfer (e.g. EFT, SWIFT, Pesalink) / Bank deposit:3 casual work",double,as.double,is.double
B3D__4.4,"Bank transfer (e.g. EFT, SWIFT, Pesalink) / Bank deposit:4 running own business/Self employment",double,as.double,is.double
B3D__4.5,"Bank transfer (e.g. EFT, SWIFT, Pesalink) / Bank deposit:5 money from  NGO / Government/Social transfer",double,as.double,is.double
B3D__4.6,"Bank transfer (e.g. EFT, SWIFT, Pesalink) / Bank deposit:6 renting,  land, house/rooms, equipment",double,as.double,is.double
B3D__4.7,"Bank transfer (e.g. EFT, SWIFT, Pesalink) / Bank deposit:7 Earning money from investments, e.g. shares, stocks",double,as.double,is.double
B3D__4.8,"Bank transfer (e.g. EFT, SWIFT, Pesalink) / Bank deposit:8 Pension/Annuity",double,as.double,is.double
B3D__4.9,"Bank transfer (e.g. EFT, SWIFT, Pesalink) / Bank deposit:9 Money / support from family / friends / spouse",double,as.double,is.double
B3D__5.1,"Credit cards / debit cards:1 farming (crops, keeping livestock, fishing, aquaculture)",double,as.double,is.double
B3D__5.2,Credit cards / debit cards:2 employment,double,as.double,is.double
B3D__5.3,Credit cards / debit cards:3 casual work,double,as.double,is.double
B3D__5.4,Credit cards / debit cards:4 running own business/Self employment,double,as.double,is.double
B3D__5.5,Credit cards / debit cards:5 money from  NGO / Government/Social transfer,double,as.double,is.double
B3D__5.6,"Credit cards / debit cards:6 renting,  land, house/rooms, equipment",double,as.double,is.double
B3D__5.7,"Credit cards / debit cards:7 Earning money from investments, e.g. shares, stocks",double,as.double,is.double
B3D__5.8,Credit cards / debit cards:8 Pension/Annuity,double,as.double,is.double
B3D__5.9,Credit cards / debit cards:9 Money / support from family / friends / spouse,double,as.double,is.double
B3D__6.1,"Inkind payments in goods and/or services:1 farming (crops, keeping livestock, fishing, aquaculture)",double,as.double,is.double
B3D__6.2,Inkind payments in goods and/or services:2 employment,double,as.double,is.double
B3D__6.3,Inkind payments in goods and/or services:3 casual work,double,as.double,is.double
B3D__6.4,Inkind payments in goods and/or services:4 running own business/Self employment,double,as.double,is.double
B3D__6.5,Inkind payments in goods and/or services:5 money from  NGO / Government/Social transfer,double,as.double,is.double
B3D__6.6,"Inkind payments in goods and/or services:6 renting,  land, house/rooms, equipment",double,as.double,is.double
B3D__6.7,"Inkind payments in goods and/or services:7 Earning money from investments, e.g. shares, stocks",double,as.double,is.double
B3D__6.8,Inkind payments in goods and/or services:8 Pension/Annuity,double,as.double,is.double
B3D__6.9,Inkind payments in goods and/or services:9 Money / support from family / friends / spouse,double,as.double,is.double
B3D__7.1,"Digital /communitycurrency e.g bitcoin, bangla pesa:1 farming (crops, keeping livestock, fishing, aquaculture)",double,as.double,is.double
B3D__7.2,"Digital /communitycurrency e.g bitcoin, bangla pesa:2 employment",double,as.double,is.double
B3D__7.3,"Digital /communitycurrency e.g bitcoin, bangla pesa:3 casual work",double,as.double,is.double
B3D__7.4,"Digital /communitycurrency e.g bitcoin, bangla pesa:4 running own business/Self employment",double,as.double,is.double
B3D__7.5,"Digital /communitycurrency e.g bitcoin, bangla pesa:5 money from  NGO / Government/Social transfer",double,as.double,is.double
B3D__7.6,"Digital /communitycurrency e.g bitcoin, bangla pesa:6 renting,  land, house/rooms, equipment",double,as.double,is.double
B3D__7.7,"Digital /communitycurrency e.g bitcoin, bangla pesa:7 Earning money from investments, e.g. shares, stocks",double,as.double,is.double
B3D__7.8,"Digital /communitycurrency e.g bitcoin, bangla pesa:8 Pension/Annuity",double,as.double,is.double
B3D__7.9,"Digital /communitycurrency e.g bitcoin, bangla pesa:9 Money / support from family / friends / spouse",double,as.double,is.double
B3D__8.1,"Other (SPECIFY):1 farming (crops, keeping livestock, fishing, aquaculture)",double,as.double,is.double
B3D__8.2,Other (SPECIFY):2 employment,double,as.double,is.double
B3D__8.3,Other (SPECIFY):3 casual work,double,as.double,is.double
B3D__8.4,Other (SPECIFY):4 running own business/Self employment,double,as.double,is.double
B3D__8.5,Other (SPECIFY):5 money from  NGO / Government/Social transfer,double,as.double,is.double
B3D__8.6,"Other (SPECIFY):6 renting,  land, house/rooms, equipment",double,as.double,is.double
B3D__8.7,"Other (SPECIFY):7 Earning money from investments, e.g. shares, stocks",double,as.double,is.double
B3D__8.8,Other (SPECIFY):8 Pension/Annuity,double,as.double,is.double
B3D__8.9,Other (SPECIFY):9 Money / support from family / friends / spouse,double,as.double,is.double
B3D__98.1,"Don't know(DO NOT READ OUT):1 farming (crops, keeping livestock, fishing, aquaculture)",double,as.double,is.double
B3D__98.2,Don't know(DO NOT READ OUT):2 employment,double,as.double,is.double
B3D__98.3,Don't know(DO NOT READ OUT):3 casual work,double,as.double,is.double
B3D__98.4,Don't know(DO NOT READ OUT):4 running own business/Self employment,double,as.double,is.double
B3D__98.5,Don't know(DO NOT READ OUT):5 money from  NGO / Government/Social transfer,double,as.double,is.double
B3D__98.6,"Don't know(DO NOT READ OUT):6 renting,  land, house/rooms, equipment",double,as.double,is.double
B3D__98.7,"Don't know(DO NOT READ OUT):7 Earning money from investments, e.g. shares, stocks",double,as.double,is.double
B3D__98.8,Don't know(DO NOT READ OUT):8 Pension/Annuity,double,as.double,is.double
B3D__98.9,Don't know(DO NOT READ OUT):9 Money / support from family / friends / spouse,double,as.double,is.double
B3D__99,Refused to Answer (DO NOT READ OUT),double,as.double,is.double
B3Di.1,"1 farming (crops, keeping livestock, fishing, aquaculture)",character,as.character,is.character
B3Di.2,2 employment,character,as.character,is.character
B3Di.3,3 casual work,character,as.character,is.character
B3Di.4,4 running own business/Self employment,character,as.character,is.character
B3Di.5,5 money from  NGO / Government/Social transfer,character,as.character,is.character
B3Di.6,"6 renting,  land, house/rooms, equipment",character,as.character,is.character
B3Di.7,"7 Earning money from investments, e.g. shares, stocks",character,as.character,is.character
B3Di.8,8 Pension/Annuity,character,as.character,is.character
B3Di.9,9 Money / support from family / friends / spouse,character,as.character,is.character
B3E.1,"1 farming (crops, keeping livestock, fishing, aquaculture)",factor,as.factor,is.factor
B3E.2,2 employment,factor,as.factor,is.factor
B3E.3,3 casual work,factor,as.factor,is.factor
B3E.4,4 running own business/Self employment,factor,as.factor,is.factor
B3E.5,5 money from  NGO / Government/Social transfer,factor,as.factor,is.factor
B3E.6,"6 renting,  land, house/rooms, equipment",factor,as.factor,is.factor
B3E.7,"7 Earning money from investments, e.g. shares, stocks",factor,as.factor,is.factor
B3E.8,8 Pension/Annuity,factor,as.factor,is.factor
B3E.9,9 Money / support from family / friends / spouse,factor,as.factor,is.factor
B3F,Type of Work,factor,as.factor,is.factor
B3Fi,Other type of Work,character,as.character,is.character
B3G,Private or Public Sector Employment,factor,as.factor,is.factor
B3H1,Orphans and vulnerable (CTOVC),factor,as.factor,is.factor
B3H2,Older persons (OPCT),factor,as.factor,is.factor
B3H3,Disabilities (CTPWSD),factor,as.factor,is.factor
B3H4,Hunger and Safety Net Programme (HSNP),factor,as.factor,is.factor
B3H5,Covid19 pandemic relief,factor,as.factor,is.factor
B3H6,Government Assistance,factor,as.factor,is.factor
B3H7,Other government,factor,as.factor,is.factor
B3H8,Private sector/NGO,factor,as.factor,is.factor
B3I,Monthly Income (KSh),factor,as.factor,is.factor
C1_1,Microfinance institution,factor,as.factor,is.factor
C1_2,"Savings through mobile banking (e.g. Mshwari , KCB MPesa, MCoop cash, Eazzy Loan, Timiza, HF Whizz)?",factor,as.factor,is.factor
C1_3,"Savings/keeping through mobile money account (e.g. MPESA, Airtel Money, TCash, Tangaza, MobiKash, Equitel)",factor,as.factor,is.factor
C1_4,Savings at a Sacco / Savings and Credit Cooperative organisation,factor,as.factor,is.factor
C1_5,Savings at a group or chama,factor,as.factor,is.factor
C1_6,Savings with a group of friends,factor,as.factor,is.factor
C1_7,Savings given to a family or friend to keep,factor,as.factor,is.factor
C1_8,Savings you keep in a secret hiding place,factor,as.factor,is.factor
C1_9,"Registered on Mobile money (e.g. MPESA, Airtel Money, TCash, Tangaza, Equitel)",factor,as.factor,is.factor
C1_10,"Registered on Mobile bank (e.g. Mshwari , KCB MPesa, MCoop cash, Eazzy Loan, Timiza, HF Whizz)",factor,as.factor,is.factor
C1_11,Personal loan/business loan from a bank,factor,as.factor,is.factor
C1_12,"Loan from mobile banking (e.g. Mshwari , KCB MPesa, MCoop cash, Eazzy Loan, Timiza, HF Whizz, Stawi loan, M-fanisi)",factor,as.factor,is.factor
C1_13,Loan from mobile money provider (e.g Fuliza loan),factor,as.factor,is.factor
C1_14,Loan at a Sacco / Savings and Credit Cooperative organisation,factor,as.factor,is.factor
C1_15,Loan from a microfinance institution,factor,as.factor,is.factor
C1_16,"Loan from Shylocks / Loan Sharks / Money Lenders / Money Merchants that are not from your phone (e.g. Platinum, Ngao, etc.)",factor,as.factor,is.factor
C1_17,Loan from a group/chama,factor,as.factor,is.factor
C1_18,"Loan from a government institution for education, agriculture or devt",factor,as.factor,is.factor
C1_19,Loan from an employer,factor,as.factor,is.factor
C1_20,Loan from family/friend/neighbour,factor,as.factor,is.factor
C1_21,Cash loan from shopkeeper,factor,as.factor,is.factor
C1_22,Taking goods and services on credit from a shopkeeper,factor,as.factor,is.factor
C1_23,"C1-23 Digital loans that you get through the phone that you download through apps (e.g. Branch, Tala, Utunzi, Haraka loans, etc.)",factor,as.factor,is.factor
C1_24,"C1-24 Loan / credits from buyer of your harvest / supplier of agricultural inputs (e.g. coffee, tea, sugarcane, tobacco, vegetables)",factor,as.factor,is.factor
C1_25,"Hire purchase (e.g. KuKopesha, Diamond Trust, Kenya Credit Traders (KCT), Synergy, One Africa Capital, Tuskys)",factor,as.factor,is.factor
C1_26,Loan from Insurance,factor,as.factor,is.factor
C1_27,"Loan to buy / build a house (mortgage), or to buy land from a bank / building society or Sacco/Insurance/Government",factor,as.factor,is.factor
C1_28,Current account - with a cheque book/ Transactional acc,factor,as.factor,is.factor
C1_29,Postbank account,factor,as.factor,is.factor
C1_30,Bank account for savings or investment (which pays interest),factor,as.factor,is.factor
C1_31,Bank account for everyday needs but no cheque book,factor,as.factor,is.factor
C1_32,Bank/ Micro finance bank Overdraft,factor,as.factor,is.factor
C1_33,"Debit Card (use on ATM, POS to pay)",factor,as.factor,is.factor
C1_34,Credit card,factor,as.factor,is.factor
C1_35,Shares and/or stocks,factor,as.factor,is.factor
C1_36,"T- Bills and Bonds, including M-Akiba",factor,as.factor,is.factor
C1_37,Mutual Funds/ Unit Trust/ Real Estate Investment Trusts (REITs)/Derivatives,factor,as.factor,is.factor
C1_38,"Motor insurance (car,motorbike,tuktuks)",factor,as.factor,is.factor
C1_39,"Home, building or contents insurance",factor,as.factor,is.factor
C1_40,Crop insurance,factor,as.factor,is.factor
C1_41,Livestock insurance,factor,as.factor,is.factor
C1_42,NHIF,factor,as.factor,is.factor
C1_43,"Other medical/health insurance policy, NOT NHIF",factor,as.factor,is.factor
C1_44,Life insurance policy,factor,as.factor,is.factor
C1_45,Education policy,factor,as.factor,is.factor
C1_46,Workmen's compensation(WIBA),factor,as.factor,is.factor
C1_47,Other insurance,factor,as.factor,is.factor
C1_47a,"Private insurance,  not specified",numeric,as.numeric,is.numeric
C1_47b,Last expense,numeric,as.numeric,is.numeric
C1_47c,Business/ivestment insurance,numeric,as.numeric,is.numeric
C1_48,NSSF,factor,as.factor,is.factor
C1_49,"Employment/ Occupation pension scheme, NOT NSSF",factor,as.factor,is.factor
C1_50,Mbao pension plan,factor,as.factor,is.factor
C1_51,"Individual Pension Plan, NOT Mbao",factor,as.factor,is.factor
C1_52,Other Retirement/ pension plan,factor,as.factor,is.factor
C1_53,Digital/crypto/community-currencies,factor,as.factor,is.factor
C2_2,Savings through mobile banking,factor,as.factor,is.factor
C2_3,Savings through mobile money provider,factor,as.factor,is.factor
C2_9,Registered on Mobile money,factor,as.factor,is.factor
C2_10,Registered on Mobile banking,factor,as.factor,is.factor
C2_12,Loan from mobile banking,factor,as.factor,is.factor
C2_13,Mobile money loans (e.g Fuliza). Did you use this in the last 12 months?,factor,as.factor,is.factor
C3_1,Capital Markets Intermediary,factor,as.factor,is.factor
C3_2,Pensions,factor,as.factor,is.factor
C4,Trusted financial provider,factor,as.factor,is.factor
C5,Highest Interest Rate Perception,factor,as.factor,is.factor
D1i__1,You would like to be a member of a Pension Scheme but cannot afford it,double,as.double,is.double
D1i__2,You do not know how to become a member,double,as.double,is.double
D1i__3,Pension Schemes are dishonest,double,as.double,is.double
D1i__4,"You do not need Pension because your family, friends, groups of friends, chama and relatives will help you in old age",double,as.double,is.double
D1i__5,You do not need pension because you have saved in other financial institutions/assets for your old age,double,as.double,is.double
D1i__6,You do not need Pension because I have educated my children and they will take care of me in old age,double,as.double,is.double
D1i__7,Religious/cultural reasons,double,as.double,is.double
D1i__8,You do not see the benefits of saving for retirement,double,as.double,is.double
D1i__9,You do not know about pensions,double,as.double,is.double
D1i__10,"You have or use pension of another person e.g. your parent, spouse/partner or through a group policy",double,as.double,is.double
D1i__11,They refused to pay my pension,double,as.double,is.double
D1i__12,You do not need pension because in your family tree people die before reaching retirement age,double,as.double,is.double
D1i__13,Other (SPECIFY),double,as.double,is.double
D1i__14,Already accessed my pension money,numeric,as.numeric,is.numeric
D1i__15,Lack of National ID/ under 18 yrs of age/student,numeric,as.numeric,is.numeric
D1i__16,Used to contribute but lost job / stopped working,numeric,as.numeric,is.numeric
D1i__17,Not interested/ Haven't given pensions a thought,numeric,as.numeric,is.numeric
D1i__18,Too old for pension,numeric,as.numeric,is.numeric
D1i__19,In the procees/lost card,numeric,as.numeric,is.numeric
D1i__98,Don't know (DO NOT READ OUT),double,as.double,is.double
D1i__99,Refused to Answer (DO NOT READ OUT),double,as.double,is.double
D1i_i,Other Pension specify,character,as.character,is.character
D1ii,D1ii_a Enough money during retirement to meet needs,factor,as.factor,is.factor
D1iib,D1ii_b Pension enough to meet needs on retirement,factor,as.factor,is.factor
D1iii,Access pension before retirement,factor,as.factor,is.factor
D1A,Somebody Else's Insurance,factor,as.factor,is.factor
D1B__1,You would like to have insurance but cannot afford it,double,as.double,is.double
D1B__2,Trying to buy health or life insurance for yourself or your family can bring bad luck,double,as.double,is.double
D1B__3,You do not know where to get it from,double,as.double,is.double
D1B__4,Insurance companies are dishonest,double,as.double,is.double
D1B__5,Insurance agents are dishonest,double,as.double,is.double
D1B__6,"You do not need insurance because your family, friends, groups of friends, chama and relatives help you when you are in need",double,as.double,is.double
D1B__7,You do not have insurance because you save for emergencies,double,as.double,is.double
D1B__8,Religious reasons /cultural reasons,double,as.double,is.double
D1B__9,You do not see the benefits of having insurance,double,as.double,is.double
D1B__10,You do not know about insurance,double,as.double,is.double
D1B__11,"You have or use insurance through another person e.g. your parent, spouse/partner or through a group policy",double,as.double,is.double
D1B__12,They refused to pay my insurance claim,double,as.double,is.double
D1B__14,"ILack of identification document/ necessary documentation to register E.g. ID, KRA pin/student",numeric,as.numeric,is.numeric
D1B__98,Don't know(DO NOT READ OUT),double,as.double,is.double
D1B__99,Refused to Answer (DO NOT READ OUT),double,as.double,is.double
D1Bi,Why Don’t Have Insurance In Own Name - other,character,as.character,is.character
D1C__1,You would like to have insurance but cannot afford it,double,as.double,is.double
D1C__2,Trying to buy health or life insurance for yourself or your family can bring bad luck,double,as.double,is.double
D1C__3,You do not know where to get it from,double,as.double,is.double
D1C__4,Insurance companies are dishonest,double,as.double,is.double
D1C__5,Insurance agents are dishonest,double,as.double,is.double
D1C__6,"You do not need insurance because your family, friends, groups of friends, chama and relatives help you when you are in need",double,as.double,is.double
D1C__7,You do not have insurance because you save for emergencies,double,as.double,is.double
D1C__8,Religious reasons /cultural reasons,double,as.double,is.double
D1C__9,You do not see the benefits of having insurance,double,as.double,is.double
D1C__10,You do not know about insurance,double,as.double,is.double
D1C__11,"You have or use insurance through another person e.g. your parent, spouse/partner or through a group policy",double,as.double,is.double
D1C__12,They refused to pay my insurance claim,double,as.double,is.double
D1C__14,"Lack of identification document/ necessary documentation to register E.g. ID, KRA pin/student",numeric,as.numeric,is.numeric
D1C__15,Application in progress/lost card,numeric,as.numeric,is.numeric
D1C__98,Don't know(DO NOT READ OUT),double,as.double,is.double
D1C__99,Refused to Answer (DO NOT READ OUT),double,as.double,is.double
D2_1,Car insurance,factor,as.factor,is.factor
D2_2,House (e.g. building or contents insurance),factor,as.factor,is.factor
D2_3,Crop insurance,factor,as.factor,is.factor
D2_4,Livestock insurance,factor,as.factor,is.factor
D2_5,NHIF,factor,as.factor,is.factor
D2_6,Medical/Health Insurance (not NHIF) (includes options such as M-Tiba),factor,as.factor,is.factor
D2_7,Life insurance,factor,as.factor,is.factor
D2_8,Education insurance,factor,as.factor,is.factor
D2_9,Workmen's compensation(WIBA),factor,as.factor,is.factor
D3__1,NHIF,double,as.double,is.double
D3__2,APA LIFE ASSURANCE COMPANY,double,as.double,is.double
D3__3,BRITAM LIFE ASSURANCE,double,as.double,is.double
D3__4,CAPEX LIFE ASSURANCE COMPANY,double,as.double,is.double
D3__5,CIC LIFE ASSURANCE COMPANY,double,as.double,is.double
D3__6,CORPORATE INSURANCE COMPANY,double,as.double,is.double
D3__7,GA LIFE ASSURANCE COMPANY,double,as.double,is.double
D3__8,GEMINIA LIFE INSURANCE COMPANY,double,as.double,is.double
D3__9,ICEA LION LIFE ASSURANCE,double,as.double,is.double
D3__10,JUBILEE INSURANCE COMPANY,double,as.double,is.double
D3__11,KENINDIA ASSURANCE COMPANY,double,as.double,is.double
D3__12,KENYA ORIENT LIFE ASSURANCE,double,as.double,is.double
D3__13,KUSCCO MUTUAL ASSURANCE LIMITED,double,as.double,is.double
D3__14,LIBERTY LIFE ASSURANCE COMPANY,double,as.double,is.double
D3__15,MADISON INSURANCE COMPANY,double,as.double,is.double
D3__16,METROPOLITAN CANNON INSURANCE,double,as.double,is.double
D3__17,OLD MUTUAL LIFE ASSURANCE,double,as.double,is.double
D3__18,PIONEER ASSURANCE COMPANY,double,as.double,is.double
D3__19,PRUDENTIAL LIFE ASSURANCE,double,as.double,is.double
D3__20,SAHAM ASSURANCE,double,as.double,is.double
D3__21,SANLAM LIFE ASSURANCE,double,as.double,is.double
D3__22,THE KENYAN ALLIANCE INSURANCE,double,as.double,is.double
D3__23,THE MONARCH INSURANCE,double,as.double,is.double
D3__24,UAP LIFE ASSURANCE COMPANY,double,as.double,is.double
D3__25,ABSA LIFE ASSURANCE,double,as.double,is.double
D3__26,Other,double,as.double,is.double
D3__27,Broker/Agent,numeric,as.numeric,is.numeric
D3__28,County Government,numeric,as.numeric,is.numeric
D3__98,Don't know (DO NOT READ OUT),double,as.double,is.double
D3__99,Refused to Answer (DO NOT READ OUT),double,as.double,is.double
D4,Where Purchased Insurance,factor,as.factor,is.factor
D5__1,Cost of premiums are the lowest out of other options,double,as.double,is.double
D5__2,Level of cover / benefit it offers out of other options,double,as.double,is.double
D5__3,Recommended by family member/friend/colleague,double,as.double,is.double
D5__4,Reputation / brand / reliability/ advertisement of company,double,as.double,is.double
D5__5,Employer / Government recommendation/ chose the policy provider,double,as.double,is.double
D5__6,"Compulsory for this policy provider (loan,mortgage,fire,life)",double,as.double,is.double
D5__7,The agent convinced me,double,as.double,is.double
D5__8,It was the only policy provider that I knew,double,as.double,is.double
D5__9,It was the only/nearest policy provider in our area,double,as.double,is.double
D5__10,"It is a mobile phone policy, so it was easy to get (e.g Riziki cover)",double,as.double,is.double
D5__11,Other (SPECIFY),double,as.double,is.double
D5__13,Unspecified reason/under someone else,numeric,as.numeric,is.numeric
D5__98,Don't know(DO NOT READ OUT),double,as.double,is.double
D5__99,Refused to Answer(DO NOT READ OUT),double,as.double,is.double
D6,Insurance Payment Channel,factor,as.factor,is.factor
D7,Payment for NHIF,factor,as.factor,is.factor
D8,Ever Made NHIF Claim,factor,as.factor,is.factor
D9,Refusal for NHIF Refusal to Pay,factor,as.factor,is.factor
E1,Whether Tried and Failed to Take a Loan,factor,as.factor,is.factor
E2__1,Bank,double,as.double,is.double
E2__2,SACCO/ M-SACCO,double,as.double,is.double
E2__3,Mobile money provider (e.g. Safaricom fuliza ),double,as.double,is.double
E2__4,"Mobile banking (e.g. Mshwari&nbsp;, KCB MPesa, MCoop cash, Eazzy Loan, Timiza, HF Whizz)",double,as.double,is.double
E2__5,MFI,double,as.double,is.double
E2__6,"Digital loans that you get through the phone that you download through apps (e.g. Branch, Tala, Utunzi, Haraka loans, etc.)",double,as.double,is.double
E2__7,Insurance company,double,as.double,is.double
E2__8,Shylocks/,double,as.double,is.double
E2__9,"Government ( Youth fund, uwezo etc)",double,as.double,is.double
E2__10,Chama/groups,double,as.double,is.double
E2__11,Shop keeper,double,as.double,is.double
E2__12,Other (SPECIFY),double,as.double,is.double
E2__13,Family/friend/neighbour,numeric,as.numeric,is.numeric
E2__14,Supplier,numeric,as.numeric,is.numeric
E2__98,Don't know(DO NOT READ OUT),double,as.double,is.double
E2__99,Refused to Answer (DO NOT READ OUT),double,as.double,is.double
E3__1,Lack of collateral,double,as.double,is.double
E3__2,No pay slip,double,as.double,is.double
E3__3,Lack of records,double,as.double,is.double
E3__4,Lack of business proposal,double,as.double,is.double
